Hora    Voo        Companhia            Origem                  Atraso   Obs             
0:50    TP 1944    TAP Portugal         Lisboa                  0:00     Previsto: 0:50  
7:00    AEA1147    Air Europa           Madrid                  0:00     Previsto: 7:00  
7:35    IB 8720    Iberia               Madrid                  0:25     Previsto: 8:00  
7:35    TO 3408    Transavia France     Paris, Orly             0:00     Previsto: 7:35  
7:40    FR 5451    Ryanair              Faro                    0:00     Previsto: 7:40  
7:55    EZY3771    EasyJet Airlines     Paris, Ch. de Gaulle    0:33     Previsto: 8:28  
8:05    TP 459     TAP Portugal         Paris, Orly             0:13     Previsto: 8:18  
8:15    FR 1386    Ryanair              Brussels, Charleroi     0:00     Previsto: 8:15  
8:20    FR 4171    Ryanair              Frankfurt, Hahn         0:00     Previsto: 8:20  
8:30    S4 370     Sata Internacional   Toronto, Pearson        0:35     Previsto: 9:05  
8:45    TP 080     TAP Portugal         São Paulo, Guarulhos    0:00     Previsto: 8:45  
8:50    FR 2094    Ryanair              Lisboa                  0:00     Previsto: 8:50  
9:00    TP 1718    TAP Portugal         Madeira                 0:00     Previsto: 9:00  
9:15    TP 1922    TAP Portugal         Lisboa                  0:00     Previsto: 9:15  
9:35    FR 5482    Ryanair              Madrid                  0:00     Previsto: 9:35  
9:40    TP 1003    TAP Portugal         Madrid                  0:34     Previsto: 10:14 
9:50    EZY1989    EasyJet Airlines     Manchester              0:28     Previsto: 10:18 
10:05   TP 1926    TAP Portugal         Lisboa                  0:00     Previsto: 10:05 
10:55   FR 4585    Ryanair              Barcelona               0:00     Previsto: 10:55 
11:10   LH 1176    Lufthansa            Frankfurt               0:03     Previsto: 11:13 
11:25   TP 451     TAP Portugal         Paris, Orly             0:16     Previsto: 11:41 
11:30   EZY1451    EasyJet Airlines     Geneva                  0:00     Previsto: 11:30 
11:35   FR 9134    Ryanair              Paris, Beauvais         0:24     Previsto: 11:59 
11:40   TP 1924    TAP Portugal         Lisboa                  0:00     Previsto: 11:40 
11:45   IB 8726    Iberia               Madrid                  0:00     Previsto: 11:45 
11:50   FR 8343    Ryanair              London, Stansted        0:31     Previsto: 12:21 
12:05   SN 3811    Brussels Airlines    Brussels                0:00     Previsto: 12:05 
12:15   FR 4702    Ryanair              Milan/Bergamo           0:00     Previsto: 12:15 
12:40   EZY1131    EasyJet Airlines     Basel                   0:48     Previsto: 13:28 
12:40   TO 3409    Transavia France     Madeira                 0:29     Previsto: 13:09 
13:00   TP 1031    TAP Portugal         Barcelona               0:00     Previsto: 13:00 
13:10   VY 8962    null                 Brussels                0:47     Previsto: 13:57 
13:30   FR 1671    Ryanair              Lisboa                  0:00     Previsto: 13:30 
14:00   TO 3410    Transavia France     Paris, Orly             0:29     Previsto: 14:29 
14:05   VY 1985    null                 Paris, Orly             0:05     Previsto: 14:10 
14:10   TP 331     TAP Portugal         London, Gatwick         0:23     Previsto: 14:33 
14:10   TP 851     TAP Portugal         Rome, Fiumicino         0:00     Previsto: 14:10 
14:20   TK 1449    Turkish Airlines     Istanbul, Ataturk       0:00     Previsto: 14:20 
14:25   EZY2097    EasyJet Airlines     London, Luton           0:00     Previsto: 14:25 
14:35   EZS1133    EasyJet Airlines     Basel                   0:33     Previsto: 15:08 
14:35   TP 1930    TAP Portugal         Lisboa                  0:32     Previsto: 15:07 
14:50   FR 7473    Ryanair              Eindhoven               0:10     Previsto: 15:00 
14:55   FR 7228    Ryanair              Valencia                0:00     Previsto: 14:55 
15:00   TP 939     TAP Portugal         Geneva                  0:00     Previsto: 15:00 
15:10   TP 823     TAP Portugal         Milan, Malpensa         0:00     Previsto: 15:10 
15:15   EZY8497    EasyJet Airlines     London, Gatwick         0:00     Previsto: 15:15 
